 NPI ID , HCP ID ,TARGET, Age , Sex , Specialty , Year of Experience , HCO Affiliation ,HCO Affiliation Type,Number_of_Rx,Rx_last_1_Month,Rx_last_3_Month,Rx_last_6_Month,Rx_last_12_Month,Number_of_Px,Px_last_1_Month,Px_last_3_Month,Px_last_6_Month,Px_last_12_Month,Claims_last_1_Month,Claims_last_3_Month,Claims_last_6_Month,Claims_last_12_Month, Procedures_chemo_last_1_month , Procedures_chemo_last_3_month , Procedures_chemo_last_6_month , Procedures_chemo_last_12_month , Procedures_radio_last_1_month , Procedures_radio_last_3_month , Procedures_radio_last_6_month , Procedures_radio_last_12_month , Procedures_Immuno_last_1_month , Procedures_Immuno_last_3_month , Procedures_Immuno_last_6_month , Procedures_Immuno_last_12_month , Procedures_Biopsy_last_1_month , Procedures_Biopsy_last_3_month , Procedures_Biopsy_last_6_month , Procedures_Biopsy_last_12_month ,Promotional_doximity,Promotional_doximity_last_1_month ,Promotional_doximity_last_3_month ,Promotional_doximity_last_6_month ,Promotional_doximity_last_12_month ,Promotional_medscape,Promotional_medscape_last_1_month ,Promotional_medscape_last_3_month ,Promotional_medscape_last_6_month ,Promotional_medscape_last_12_month ,F2F_visit,F2F_visit_last_1_month ,F2F_visit_last_3_month ,F2F_visit_last_6_month ,F2F_visit_last_12_month ,VRC_visit,VRC_visit_last_1_month ,VRC_visit_last_3_month ,VRC_visit_last_6_month ,VRC_visit_last_12_month 
9846255,HCP_1,0,64, M ,Oncology,10, XYZ Medical Center ,Referral,290,400,492,770,1373,234,464,738,1060,1949,241,395,699,1047,48,82,112,154,43,57,79,110,41,77,80,114,49,97,182,209,8,11,15,26,47,8,12,18,30,55,1,2,3,5,9,2,3,5,9,16
5217093,HCP_2,0,64, F ,Neuro-oncology,47, ABC Medical Center ,Collaboration,645,923,1628,2210,2449,80,139,264,318,534,197,266,420,667,66,75,98,124,59,99,111,128,66,72,103,150,38,62,73,93,8,12,14,16,23,6,11,14,21,40,2,4,6,8,12,1,2,3,6,11
2659257,HCP_3,0,56, M ,Hematology,41, STU Medical Center ,Employment,879,1062,1918,3505,6169,197,274,386,642,826,319,532,655,849,37,55,96,129,78,141,238,355,73,140,227,252,63,70,107,184,10,14,16,25,37,10,17,20,29,48,1,2,3,4,6,2,3,6,8,11
9851763,HCP_4,0,74, F ,Pediatric,35, XYZ Medical Center ,Collaboration,392,704,1036,1078,1184,217,260,319,401,671,232,419,464,849,69,114,139,196,54,69,91,177,79,99,120,222,63,88,133,262,6,10,14,27,54,6,12,16,21,27,1,2,4,8,15,1,2,4,6,7
6650853,HCP_5,0,46, M ,Immunology,60, DEF Medical Center ,Contract,1043,1228,1305,1339,2483,209,269,456,591,642,232,261,519,930,75,83,110,163,55,90,122,158,58,61,121,142,74,131,234,284,6,7,13,16,26,8,12,15,30,52,1,2,3,5,8,2,4,6,9,16
8407563,HCP_6,0,87, F ,Hematology,28, PQR Medical Center ,Collaboration,325,338,516,818,1039,167,216,343,679,1248,202,226,339,480,32,55,73,79,67,93,94,150,67,98,112,212,52,95,189,270,8,11,15,19,36,7,10,19,23,28,1,2,4,5,8,1,2,3,4,5
5404573,HCP_7,0,63, F ,Immunology,60, MNO Medical Center ,Collaboration,1038,2065,2986,3673,3738,147,155,160,315,532,104,185,292,571,73,103,182,281,35,61,75,125,53,95,167,241,63,76,98,189,6,10,12,19,21,8,13,25,33,43,2,3,4,6,11,1,2,4,6,8
5937705,HCP_8,0,38, F ,Neuro-oncology,16, MNO Medical Center ,Employment,685,765,1334,2458,3624,286,500,766,1047,1581,197,260,412,614,47,60,107,114,53,66,126,141,79,143,185,356,71,89,169,304,6,11,22,26,38,9,10,15,28,42,1,2,4,6,12,1,2,4,8,14
4619157,HCP_9,0,49, M ,Immunology,57, ABC Medical Center ,Referral,1100,1816,3544,3933,4911,174,348,459,530,1030,162,281,375,598,64,88,127,159,65,108,151,246,70,131,253,399,41,72,128,214,5,8,13,23,38,10,11,19,25,49,2,4,7,12,17,2,3,5,6,9
5133414,HCP_10,0,60, F ,Uro-oncology,38, PQR Medical Center ,Employment,1100,1636,1932,3193,5024,166,301,579,900,963,206,365,561,1107,34,57,70,96,40,62,110,203,54,56,81,161,48,71,84,87,10,13,14,26,28,5,7,10,15,26,2,3,4,6,10,1,2,3,6,10
8718815,HCP_11,0,71, F ,Pediatric,42, MNO Medical Center ,Contract,1079,1564,2291,4414,6984,208,374,470,708,1303,22,31,57,99,52,98,128,218,51,57,113,134,42,62,78,142,63,93,157,159,5,8,11,15,23,10,16,29,36,48,1,2,4,6,8,1,2,3,4,6
